Nº doc.cálc.,Cta.contrato,Contrato,Porción,PosDoc,CDoc,MA,FinPerCálc,Válido de,Validez a,CtdCálc,Cantidad cálculo,ContPorTmp,kwh
56060817053,600000175082,218183601,RP_01,000001,ZKWHP,,01/06/2022,03/05/2022,01/06/2022,"3,465",0.30000000000000,30.0000,30.30000000000000
56060817053,600000175082,218183601,RP_01,000002,ZKWHV,,01/06/2022,03/05/2022,01/06/2022,"4,109",0.80000000000000,30.0000,30.80000000000000
56060817053,600000175082,218183601,RP_01,000003,ZKWHR,,01/06/2022,03/05/2022,01/06/2022,"9,021",0.20000000000000,30.0000,30.20000000000000
56060817053,600000175082,218183601,RP_01,000005,ZFP,,01/06/2022,03/05/2022,01/06/2022,0,0.91800000000000,30.0000,30.91800000000000
56480757398,600000175082,218183601,RP_01,000004,ZKW,,01/07/2022,02/06/2022,01/07/2022,24,0.43900000000000,30.0000,30.43900000000000
56480757398,600000175082,218183601,RP_01,000001,ZKWHP,,01/07/2022,02/06/2022,01/07/2022,"3,369",0.90000000000000,30.0000,30.90000000000000
56480757398,600000175082,218183601,RP_01,000002,ZKWHV,,01/07/2022,02/06/2022,01/07/2022,"3,335",0.50000000000000,30.0000,30.50000000000000
56480757398,600000175082,218183601,RP_01,000003,ZKWHR,,01/07/2022,02/06/2022,01/07/2022,"9,270",0.00000000000000,30.0000,30.00000000000000
56480757398,600000175082,218183601,RP_01,000005,ZFP,,01/07/2022,02/06/2022,01/07/2022,0,0.91600000000000,30.0000,30.91600000000000
56780684262,600000175082,218183601,RP_01,000006,ZKWHR,,01/08/2022,15/07/2022,01/08/2022,"5,537",0.49680000000000,18.0000,18.49680000000000
56780684262,600000175082,218183601,RP_01,000001,ZKWHP,,01/08/2022,02/07/2022,14/07/2022,"1,525",0.48700000000000,13.0000,13.48700000000000
56780684262,600000175082,218183601,RP_01,000002,ZKWHP,,01/08/2022,15/07/2022,01/08/2022,"2,112",0.21300000000000,18.0000,18.21300000000000
56780684262,600000175082,218183601,RP_01,000003,ZKWHV,,01/08/2022,02/07/2022,14/07/2022,"1,789",0.05160000000000,13.0000,13.05160000000000
